Profile,WorldTier,HeadPool,ChestPool,LegsPool,FeetPool,PrimaryFaction,Notes
clothes,T0,"apocalypsenow:baseball_cap_red_helmet|apocalypsenow:cowboy_hat_helmet","apocalypsenow:high_visibility_jacket_chestplate","","",survivor,"防御目的ではない"
light,T0-T1,"apocalypsenow:construction_helmet|apocalypsenow:black_motorcycle_helmet_helmet","apocalypsenow:civilian_body_vest_chestplate","","",survivor,"軽装"
medic_light,T0-T1,"","apocalypsenow:nurse_chestplate","apocalypsenow:nurse_leggings","apocalypsenow:nurse_boots",survivor,"識別優先"
scrap_light,T0,"apocalypsenow:sack_helmet|apocalypsenow:hockey_helmet","apocalypsenow:rusty_chestplate|apocalypsenow:anarchy_chestplate","apocalypsenow:rusty_leggings","apocalypsenow:rusty_boots",raider,"混成・欠損部位あり"
scrap_medium,T1-T2,"apocalypsenow:black_football_armor_helmet","apocalypsenow:black_football_armor_chestplate|apocalypsenow:bulletproof_vest_chestplate","apocalypsenow:black_football_armor_leggings","apocalypsenow:black_football_armor_boots",raider,"スポーツ防具と盗品"
scrap_heavy,T1-T2,"apocalypsenow:hockey_helmet","apocalypsenow:hockey_chestplate","apocalypsenow:hockey_leggings","apocalypsenow:hockey_boots",raider,"近接・ショットガン役"
police_light,T0-T1,"apocalypsenow:police_helmet","apocalypsenow:police_chestplate","apocalypsenow:police_leggings","apocalypsenow:police_boots",civildef,"通常警官"
police_medium,T1-T2,"survival_instinct:police_helmet","survival_instinct:police_chestplate","survival_instinct:police_leggings","survival_instinct:police_boots",civildef,"武装警官"
medic_medium,T1-T3,"apocalypsenow:military_cap_helmet","apocalypsenow:press_bulletproof_vest_chestplate","","",civildef,"衛生兵"
swat_medium,T2-T3,"apocalypsenow:swat_helmet","apocalypsenow:swat_chestplate","apocalypsenow:swat_leggings","apocalypsenow:swat_boots",civildef,"SWAT"
swat_heavy,T3-T4,"apocalypsenow:swatriotcontrol_helmet","apocalypsenow:swatriotcontrol_chestplate","apocalypsenow:swatriotcontrol_leggings","apocalypsenow:swatriotcontrol_boots",civildef,"暴徒鎮圧"
military_medium,T2-T4,"apocalypsenow:russian_army_helmet|apocalypsenow:chinese_army_helmet","apocalypsenow:russian_army_chestplate|apocalypsenow:chinese_army_chestplate","apocalypsenow:russian_army_leggings|apocalypsenow:chinese_army_leggings","apocalypsenow:russian_army_boots|apocalypsenow:chinese_army_boots",remnant,"一般兵"
military_heavy,T3-T4,"apocalypsenow:military_riot_armor_helmet","apocalypsenow:military_riot_armor_chestplate","apocalypsenow:military_riot_armor_leggings","apocalypsenow:military_riot_armor_boots",remnant,"重歩兵"
spec_ops,T4-T5,"apocalypsenow:spec_ops_helmet","apocalypsenow:spec_ops_chestplate","apocalypsenow:spec_ops_leggings","apocalypsenow:spec_ops_boots",remnant,"特殊部隊"
juggernaut,T3-T5,"apocalypsenow:juggernaut_helmet","apocalypsenow:juggernaut_chestplate","apocalypsenow:juggernaut_leggings","apocalypsenow:juggernaut_boots",remnant,"低速・高耐久"
exo_heavy,T5,"survival_instinct:exo_heavy_black_helmet","survival_instinct:exo_heavy_black_chestplate","survival_instinct:exo_heavy_black_leggings","survival_instinct:exo_heavy_black_boots",remnant,"ボス限定"
